date,amount,category,vendor,project_id,original_currency,original_amount
2024-01-05,1250.00,Office Supplies,Staples Inc,PROJ-001,USD,1250.00
2024-01-08,299.99,Software & Subscriptions,Adobe Systems,,USD,299.99
2024-01-10,5400.00,Marketing & Advertising,Google Ads,PROJ-002,USD,5400.00
2024-01-12,850.00,Travel & Entertainment,Delta Airlines,PROJ-003,USD,850.00
2024-01-15,3200.00,Professional Services,Legal Associates LLC,,USD,3200.00
2024-01-18,450.00,Utilities,Pacific Gas & Electric,,USD,450.00
2024-01-20,12500.00,Equipment,Dell Technologies,PROJ-001,USD,12500.00
2024-01-22,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-01-25,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-01-28,750.00,Training & Development,LinkedIn Learning,,USD,750.00
2024-02-01,325.50,Office Supplies,Amazon Business,PROJ-002,USD,325.50
2024-02-03,149.99,Software & Subscriptions,Microsoft 365,,USD,149.99
2024-02-05,2800.00,Marketing & Advertising,Facebook Ads,PROJ-001,USD,2800.00
2024-02-08,1200.00,Travel & Entertainment,Marriott Hotels,PROJ-003,USD,1200.00
2024-02-10,2500.00,Professional Services,Accounting Solutions Inc,,USD,2500.00
2024-02-12,520.00,Utilities,Comcast Business,,USD,520.00
2024-02-15,3400.00,Equipment,HP Inc,PROJ-002,USD,3400.00
2024-02-18,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-02-20,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-02-22,950.00,Training & Development,Udemy Business,,USD,950.00
2024-02-25,875.00,Office Supplies,Office Depot,PROJ-001,USD,875.00
2024-02-28,99.99,Software & Subscriptions,Slack Technologies,,USD,99.99
2024-03-02,4200.00,Marketing & Advertising,LinkedIn Ads,PROJ-003,USD,4200.00
2024-03-05,650.00,Travel & Entertainment,United Airlines,PROJ-002,USD,650.00
2024-03-08,4500.00,Professional Services,Marketing Agency Co,PROJ-001,USD,4500.00
2024-03-10,480.00,Utilities,Pacific Gas & Electric,,USD,480.00
2024-03-12,8900.00,Equipment,Lenovo,PROJ-003,USD,8900.00
2024-03-15,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-03-18,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-03-20,1200.00,Training & Development,Coursera,,USD,1200.00
2024-03-22,450.00,Office Supplies,Staples Inc,PROJ-002,USD,450.00
2024-03-25,199.99,Software & Subscriptions,Zoom Video,,USD,199.99
2024-03-28,3600.00,Marketing & Advertising,Twitter Ads,PROJ-001,USD,3600.00
2024-04-01,980.00,Travel & Entertainment,Hilton Hotels,PROJ-003,USD,980.00
2024-04-04,3800.00,Professional Services,IT Consulting Group,,USD,3800.00
2024-04-07,550.00,Utilities,Comcast Business,,USD,550.00
2024-04-10,15000.00,Equipment,Apple Inc,PROJ-002,USD,15000.00
2024-04-12,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-04-15,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-04-18,850.00,Training & Development,Pluralsight,,USD,850.00
2024-04-20,625.00,Office Supplies,Amazon Business,PROJ-001,USD,625.00
2024-04-22,79.99,Software & Subscriptions,Dropbox Business,,USD,79.99
2024-04-25,5200.00,Marketing & Advertising,Google Ads,PROJ-003,USD,5200.00
2024-04-28,1150.00,Travel & Entertainment,American Airlines,PROJ-002,USD,1150.00
2024-05-02,2900.00,Professional Services,Legal Associates LLC,,USD,2900.00
2024-05-05,495.00,Utilities,Pacific Gas & Electric,,USD,495.00
2024-05-08,6500.00,Equipment,Samsung Electronics,PROJ-001,USD,6500.00
2024-05-10,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-05-12,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-05-15,1100.00,Training & Development,LinkedIn Learning,,USD,1100.00
2024-05-18,380.00,Office Supplies,Office Depot,PROJ-003,USD,380.00
2024-05-20,249.99,Software & Subscriptions,Adobe Systems,,USD,249.99
2024-05-22,4800.00,Marketing & Advertising,Facebook Ads,PROJ-002,USD,4800.00
2024-05-25,720.00,Travel & Entertainment,Southwest Airlines,PROJ-001,USD,720.00
2024-05-28,3300.00,Professional Services,Accounting Solutions Inc,,USD,3300.00
2024-06-01,535.00,Utilities,Comcast Business,,USD,535.00
2024-06-03,4200.00,Equipment,Dell Technologies,PROJ-003,USD,4200.00
2024-06-05,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-06-08,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-06-10,950.00,Training & Development,Udemy Business,,USD,950.00
2024-06-12,725.00,Office Supplies,Staples Inc,PROJ-002,USD,725.00
2024-06-15,159.99,Software & Subscriptions,Microsoft 365,,USD,159.99
2024-06-18,6400.00,Marketing & Advertising,LinkedIn Ads,PROJ-001,USD,6400.00
2024-06-20,890.00,Travel & Entertainment,Hyatt Hotels,PROJ-003,USD,890.00
2024-06-22,4100.00,Professional Services,Marketing Agency Co,PROJ-002,USD,4100.00
2024-06-25,510.00,Utilities,Pacific Gas & Electric,,USD,510.00
2024-06-28,11200.00,Equipment,HP Inc,PROJ-001,USD,11200.00
2024-07-02,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-07-05,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-07-08,1300.00,Training & Development,Coursera,,USD,1300.00
2024-07-10,540.00,Office Supplies,Amazon Business,PROJ-003,USD,540.00
2024-07-12,119.99,Software & Subscriptions,Slack Technologies,,USD,119.99
2024-07-15,3900.00,Marketing & Advertising,Google Ads,PROJ-002,USD,3900.00
2024-07-18,1050.00,Travel & Entertainment,Delta Airlines,PROJ-001,USD,1050.00
2024-07-20,2800.00,Professional Services,IT Consulting Group,,USD,2800.00
2024-07-22,565.00,Utilities,Comcast Business,,USD,565.00
2024-07-25,7800.00,Equipment,Lenovo,PROJ-003,USD,7800.00
2024-07-28,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-08-01,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-08-03,780.00,Training & Development,Pluralsight,,USD,780.00
2024-08-05,495.00,Office Supplies,Office Depot,PROJ-002,USD,495.00
2024-08-08,189.99,Software & Subscriptions,Zoom Video,,USD,189.99
2024-08-10,5600.00,Marketing & Advertising,Facebook Ads,PROJ-001,USD,5600.00
2024-08-12,960.00,Travel & Entertainment,United Airlines,PROJ-003,USD,960.00
2024-08-15,3500.00,Professional Services,Legal Associates LLC,,USD,3500.00
2024-08-18,525.00,Utilities,Pacific Gas & Electric,,USD,525.00
2024-08-20,13500.00,Equipment,Apple Inc,PROJ-002,USD,13500.00
2024-08-22,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-08-25,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-08-28,1150.00,Training & Development,LinkedIn Learning,,USD,1150.00
2024-09-02,680.00,Office Supplies,Staples Inc,PROJ-001,USD,680.00
2024-09-05,89.99,Software & Subscriptions,Dropbox Business,,USD,89.99
2024-09-08,4500.00,Marketing & Advertising,LinkedIn Ads,PROJ-003,USD,4500.00
2024-09-10,820.00,Travel & Entertainment,Marriott Hotels,PROJ-002,USD,820.00
2024-09-12,2950.00,Professional Services,Accounting Solutions Inc,,USD,2950.00
2024-09-15,545.00,Utilities,Comcast Business,,USD,545.00
2024-09-18,5900.00,Equipment,Samsung Electronics,PROJ-001,USD,5900.00
2024-09-20,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-09-22,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-09-25,920.00,Training & Development,Udemy Business,,USD,920.00
2024-09-28,415.00,Office Supplies,Amazon Business,PROJ-003,USD,415.00
2024-10-01,269.99,Software & Subscriptions,Adobe Systems,,USD,269.99
2024-10-03,6200.00,Marketing & Advertising,Google Ads,PROJ-002,USD,6200.00
2024-10-05,1100.00,Travel & Entertainment,American Airlines,PROJ-001,USD,1100.00
2024-10-08,4200.00,Professional Services,Marketing Agency Co,PROJ-003,USD,4200.00
2024-10-10,555.00,Utilities,Pacific Gas & Electric,,USD,555.00
2024-10-12,9800.00,Equipment,Dell Technologies,PROJ-002,USD,9800.00
2024-10-15,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-10-18,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-10-20,1050.00,Training & Development,Coursera,,USD,1050.00
2024-10-22,590.00,Office Supplies,Office Depot,PROJ-001,USD,590.00
2024-10-25,139.99,Software & Subscriptions,Microsoft 365,,USD,139.99
2024-10-28,5300.00,Marketing & Advertising,Twitter Ads,PROJ-003,USD,5300.00
2024-11-01,750.00,Travel & Entertainment,Southwest Airlines,PROJ-002,USD,750.00
2024-11-03,3100.00,Professional Services,IT Consulting Group,,USD,3100.00
2024-11-05,575.00,Utilities,Comcast Business,,USD,575.00
2024-11-08,8600.00,Equipment,HP Inc,PROJ-001,USD,8600.00
2024-11-10,1800.00,Insurance,Allstate Insurance,,USD,1800.00
2024-11-12,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-11-15,880.00,Training & Development,Pluralsight,,USD,880.00
2024-11-18,465.00,Office Supplies,Staples Inc,PROJ-003,USD,465.00
2024-11-20,109.99,Software & Subscriptions,Slack Technologies,,USD,109.99
2024-11-22,4700.00,Marketing & Advertising,Facebook Ads,PROJ-002,USD,4700.00
2024-11-25,980.00,Travel & Entertainment,Hilton Hotels,PROJ-001,USD,980.00
2024-11-28,2700.00,Professional Services,Legal Associates LLC,,USD,2700.00
2024-12-02,540.00,Utilities,Pacific Gas & Electric,,USD,540.00
2024-12-05,16500.00,Equipment,Apple Inc,PROJ-003,USD,16500.00
2024-12-08,1800.00,Insurance,State Farm Insurance,,USD,1800.00
2024-12-10,8500.00,Rent & Facilities,Downtown Properties LLC,,USD,8500.00
2024-12-12,1250.00,Training & Development,LinkedIn Learning,,USD,1250.00
